,City,Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,Latitude,Longitude
195,karur,297.24,1001.74,68.92,1.93,0.02,39.99,109.38,10.9596041,78.0807797
196,thoothukudi,298.18,1003.22,73.46,2.71,0.05,42.59,90.15,8.8052602,78.1452745
197,pudukottai,298.41,1012.27,74.37,3.51,0.02,42.4,38.85,10.3826515,78.8191259
198,ariyalur,299.01,1014.51,76.97,2.98,0.01,33.31,29.62,13.1918717,80.2507423
199,salem,296.91,1002.45,69.86,2.11,0.03,37.6,105.08,11.6612012,78.1602498
200,madurai,298.42,1007.8,70.71,2.58,0.02,38.66,41.77,9.9261153,78.1140983
201,ramanathapuram,298.42,1007.8,70.71,2.58,0.02,38.66,41.77,9.3652354,78.8343193
202,virudhunagar,298.42,1007.8,70.71,2.58,0.02,38.66,41.77,9.58224,77.9537
203,hosur,294.54,1004.05,70.61,2.79,0.02,39.47,88.69,12.7328844,77.8309478
204,chengalpattu,298.13,1013.29,75.01,2.96,0.01,38.37,45.31,12.6840886,79.9836371
205,kolkata,291.85,1014.83,72.48,2.16,0.01,20.05,198.54,22.5414185,88.35769124388872
206,haldia,293.15,1019.76,60.34,2.58,0.01,18.58,232.85,22.028124,88.0632655
207,durgapur,291.12,1017.3,63.41,2.32,0.01,15.71,202.92,23.5350475,87.3380425
208,siliguri,289.12,977.83,63.35,1.56,0.03,27.96,181.31,26.7164127,88.4309916
209,asansol,292.0,1013.9,59.68,2.45,0.05,22.06,195.46,23.6871297,86.9746587
210,howrah,291.84,1015.68,72.68,2.16,0.01,20.15,198.69,22.5736296,88.3251045
211,barrackpore,291.9,1014.83,71.99,2.16,0.01,18.18,199.69,22.7641623,88.3776088
212,kashipur,285.15,991.53,64.94,1.73,0.03,25.02,191.85,29.2117573,78.9617306
213,rishikesh,284.88,998.37,68.47,1.69,0.04,24.72,204.85,30.1086537,78.2916193
214,dehradun,282.41,946.61,64.17,1.65,0.05,29.06,181.46,30.3255646,78.0436813
215,agra,287.53,1013.32,68.55,2.23,0.01,14.88,241.62,27.1752554,78.0098161
216,prayagraj,288.7,1015.48,68.55,2.13,0.02,21.64,213.46,25.4381302,81.8338005
217,meerut,286.58,1010.19,68.33,2.6,0.03,20.6,217.77,28.9963296,77.7061915
218,jhansi,288.42,1005.2,63.46,2.05,0.02,13.98,248.31,25.4502464,78.5800085
219,greater_noida,286.64,1014.65,68.46,2.39,0.01,22.95,184.77,28.4670734,77.5137649
220,kanpur,287.55,1015.65,71.21,2.12,0.03,29.1,181.54,26.4609135,80.3217588
221,bulandshahr,286.72,1011.12,70.54,2.52,0.02,18.63,223.77,28.4056515,77.8542516
222,lucknow,286.81,1016.27,81.13,1.84,0.01,37.57,139.31,26.8381,80.9346001
223,firozabad,287.4,1014.14,67.97,2.31,0.02,15.07,240.38,27.1527986,78.3991439
224,moradabad,286.86,1011.25,70.53,2.51,0.03,21.95,195.15,28.8334982,78.7732864
225,hapur,286.68,1014.74,70.28,2.57,0.01,23.27,183.69,28.7299677,77.775499
226,vrindavan,287.01,1012.16,68.28,2.26,0.02,16.35,234.77,27.5753726,77.6938045
227,ghaziabad,286.23,1015.5,69.74,2.4,0.01,26.08,165.15,28.6711527,77.4120356
228,bareilly,287.1,1012.39,70.69,2.52,0.02,19.25,200.38,28.355099,79.417851
229,noida,286.26,1016.3,68.87,2.34,0.02,25.76,162.92,28.5707841,77.3271074
230,varanasi,287.74,1016.66,80.64,1.96,0.02,30.66,148.69,25.3356491,83.0076292
231,muzaffarnagar,286.12,1008.56,70.09,2.55,0.03,22.79,211.77,29.4662369,77.6961699
232,gorakhpur,288.12,1017.31,70.39,2.46,0.02,16.02,220.77,26.7600217,83.3668129
233,khurja,286.76,1011.89,70.14,2.5,0.02,18.08,226.15,28.2532652,77.853916
234,baghpat,286.48,1013.5,69.38,2.45,0.01,23.97,183.54,28.943402,77.2193369
